id,name,score1,score2
115,student_115,50,57
116,student_116,51,79
117,student_117,63,50
118,student_118,88,76
119,student_119,92,90
120,student_120,73,90
121,student_121,64,68
122,student_122,74,59
123,student_123,59,80
124,student_124,89,90
125,student_125,72,55
126,student_126,85,76
127,student_127,96,67
128,student_128,87,70
129,student_129,68,73
130,student_130,76,84
131,student_131,74,59
132,student_132,74,52
133,student_133,93,74
134,student_134,58,70
135,student_135,76,59
136,student_136,97,83
137,student_137,75,71
138,student_138,59,95
139,student_139,88,86
140,student_140,78,69
141,student_141,51,95
142,student_142,84,89
143,student_143,75,93
144,student_144,69,50
145,student_145,93,68
146,student_146,82,84
147,student_147,69,72
148,student_148,75,52
149,student_149,96,80
150,student_150,88,78
151,student_151,62,65
152,student_152,81,62
153,student_153,93,89
154,student_154,81,99
155,student_155,90,92
156,student_156,72,55
157,student_157,100,65
158,student_158,73,75
159,student_159,72,85
160,student_160,60,50
161,student_161,92,88
162,student_162,77,86
163,student_163,99,93
164,student_164,67,64
165,student_165,70,96
166,student_166,55,76
167,student_167,94,74
168,student_168,85,92
169,student_169,59,86
170,student_170,86,85
171,student_171,54,65
172,student_172,58,92
173,student_173,68,83
174,student_174,68,93
175,student_175,90,91
176,student_176,88,59
177,student_177,68,60
178,student_178,100,74
179,student_179,96,80
180,student_180,83,66
181,student_181,71,61
182,student_182,90,52
183,student_183,74,59
184,student_184,72,80
185,student_185,50,94
186,student_186,56,86
187,student_187,97,76
188,student_188,80,65
189,student_189,94,86
190,student_190,97,58
191,student_191,83,79
192,student_192,89,83
193,student_193,80,96
194,student_194,94,88
195,student_195,54,65
196,student_196,52,51
197,student_197,63,78
198,student_198,86,84
199,student_199,76,67
200,student_200,88,86
201,student_201,67,55
202,student_202,54,70
203,student_203,76,100
204,student_204,73,97
205,student_205,76,53
206,student_206,64,65
207,student_207,74,79
208,student_208,90,59
209,student_209,92,81
210,student_210,99,75
211,student_211,79,54
212,student_212,77,52
213,student_213,50,96
214,student_214,76,80
215,student_215,82,54
216,student_216,93,85
217,student_217,89,55
218,student_218,98,68
219,student_219,100,71
220,student_220,98,51
221,student_221,65,94
222,student_222,73,100
223,student_223,88,72
224,student_224,56,98
225,student_225,53,80
226,student_226,80,88
227,student_227,60,75
228,student_228,69,62
229,student_229,51,69
230,student_230,61,91
231,student_231,71,89
232,student_232,71,60
233,student_233,50,95
234,student_234,99,55
235,student_235,59,99
236,student_236,58,98
237,student_237,100,56
238,student_238,98,54
239,student_239,58,66
240,student_240,74,96
241,student_241,68,85
242,student_242,53,59
243,student_243,82,87
244,student_244,69,61
245,student_245,55,66
246,student_246,96,76
247,student_247,95,83
248,student_248,87,77
249,student_249,80,98
250,student_250,84,80
251,student_251,56,88
252,student_252,71,76
253,student_253,81,67
254,student_254,65,95
255,student_255,54,56
256,student_256,55,83
257,student_257,96,77
258,student_258,66,68
259,student_259,74,73
260,student_260,65,94
261,student_261,90,78
262,student_262,83,74
263,student_263,94,58
264,student_264,87,80
265,student_265,94,82
266,student_266,60,62
267,student_267,98,84
268,student_268,82,87
269,student_269,63,55
270,student_270,73,96
271,student_271,72,54
272,student_272,65,78
273,student_273,57,96
274,student_274,73,59
275,student_275,78,91
276,student_276,82,88
277,student_277,61,64
278,student_278,60,97
279,student_279,71,77
280,student_280,100,72
281,student_281,98,99
282,student_282,73,70
283,student_283,68,51
284,student_284,100,77
285,student_285,93,84
286,student_286,94,68
287,student_287,67,79
288,student_288,64,74
289,student_289,76,75
290,student_290,84,96
291,student_291,77,83
292,student_292,67,97
293,student_293,70,98
294,student_294,96,87
295,student_295,87,59
296,student_296,93,100
297,student_297,71,98
298,student_298,64,79
299,student_299,99,94
300,student_300,74,79
301,student_301,55,92
302,student_302,96,100
303,student_303,88,58
304,student_304,72,69
305,student_305,61,57
306,student_306,52,70
307,student_307,79,81
308,student_308,90,52
309,student_309,50,82
310,student_310,58,62
311,student_311,74,86
312,student_312,75,65
313,student_313,74,60
314,student_314,65,52
315,student_315,87,75
316,student_316,68,81
317,student_317,77,54
318,student_318,72,84
319,student_319,62,63
320,student_320,78,68
321,student_321,92,75
322,student_322,73,58
323,student_323,54,64
324,student_324,74,74
325,student_325,68,95
326,student_326,89,86
327,student_327,96,60
328,student_328,88,78
329,student_329,79,92
330,student_330,74,98
331,student_331,61,96
332,student_332,92,50
333,student_333,90,94
334,student_334,54,60
335,student_335,79,92
336,student_336,72,73
337,student_337,72,72
338,student_338,94,57
339,student_339,53,61
340,student_340,86,64
341,student_341,61,88
342,student_342,77,85
343,student_343,68,78
344,student_344,75,86
345,student_345,74,71
346,student_346,56,72
347,student_347,88,80
348,student_348,76,86
349,student_349,61,92
350,student_350,75,90
351,student_351,60,79
352,student_352,70,81
353,student_353,57,93
354,student_354,100,90
355,student_355,55,54
356,student_356,60,52
357,student_357,62,56
358,student_358,73,63
359,student_359,73,67
360,student_360,95,92
361,student_361,53,50
362,student_362,56,98
363,student_363,62,63
364,student_364,69,70
365,student_365,89,55
366,student_366,50,83
367,student_367,77,93
368,student_368,91,57
369,student_369,63,65
370,student_370,53,98
371,student_371,88,96
372,student_372,71,65
373,student_373,64,74
374,student_374,64,98
375,student_375,54,91
376,student_376,58,68
377,student_377,100,50
378,student_378,91,99
379,student_379,55,59
380,student_380,75,65
381,student_381,94,50
382,student_382,96,86
383,student_383,81,92
384,student_384,57,75
385,student_385,66,59
386,student_386,52,73
387,student_387,67,55
388,student_388,61,72
389,student_389,67,76
390,student_390,88,98
391,student_391,65,89
392,student_392,61,76
393,student_393,69,65
394,student_394,97,64
395,student_395,96,59
396,student_396,100,91
397,student_397,55,55
398,student_398,72,56
399,student_399,70,98
400,student_400,93,59
401,student_401,94,86
402,student_402,93,55
403,student_403,88,52
404,student_404,72,52
405,student_405,85,51
406,student_406,67,60
407,student_407,54,96
408,student_408,73,64
409,student_409,70,97
410,student_410,75,70
411,student_411,53,83
412,student_412,100,72
413,student_413,94,95
414,student_414,99,72
415,student_415,87,54
416,student_416,57,73
417,student_417,95,77
418,student_418,67,95
419,student_419,89,50
420,student_420,87,76
421,student_421,75,81
422,student_422,71,88
423,student_423,89,80
424,student_424,75,59
425,student_425,87,73
426,student_426,62,56
427,student_427,92,76
428,student_428,89,85
429,student_429,74,93
430,student_430,79,67
431,student_431,56,55
432,student_432,56,56
433,student_433,63,96
434,student_434,60,82
435,student_435,74,76
436,student_436,50,79
437,student_437,75,100
438,student_438,80,92
439,student_439,50,61
440,student_440,73,94
441,student_441,95,61
442,student_442,59,90
443,student_443,62,65
444,student_444,55,82
445,student_445,66,79
446,student_446,71,93
447,student_447,92,75
448,student_448,86,79
449,student_449,68,91
450,student_450,54,84
451,student_451,84,58
452,student_452,66,97
453,student_453,93,73
454,student_454,80,62
455,student_455,86,86
456,student_456,81,68
457,student_457,86,75
458,student_458,92,69
459,student_459,97,55
460,student_460,79,54
461,student_461,56,80
462,student_462,52,60
463,student_463,60,72
464,student_464,51,71
465,student_465,94,74
466,student_466,65,80
467,student_467,59,92
468,student_468,79,96
469,student_469,100,62
470,student_470,95,79
471,student_471,65,61
472,student_472,64,75
473,student_473,60,86
474,student_474,64,99
475,student_475,88,60
476,student_476,81,85
477,student_477,71,63
478,student_478,84,85
479,student_479,75,63
480,student_480,86,89
481,student_481,100,78
482,student_482,74,75
483,student_483,91,82
484,student_484,61,57
485,student_485,98,67
486,student_486,57,91
487,student_487,82,73
488,student_488,70,89
489,student_489,62,53
490,student_490,82,79
491,student_491,64,60
492,student_492,96,80
493,student_493,75,69
494,student_494,74,66
495,student_495,85,63
496,student_496,73,81
497,student_497,86,87
498,student_498,76,71
499,student_499,84,95
500,student_500,61,81
501,student_501,77,61
502,student_502,73,81
503,student_503,58,56
504,student_504,72,81
505,student_505,87,80
506,student_506,73,88
507,student_507,87,86
508,student_508,72,83
509,student_509,70,91
510,student_510,79,87
511,student_511,53,91
512,student_512,59,96
513,student_513,65,84
514,student_514,64,86
515,student_515,70,65
516,student_516,93,71
517,student_517,90,100
518,student_518,99,64
519,student_519,84,96
520,student_520,72,60
521,student_521,50,70
522,student_522,89,73
523,student_523,87,68
524,student_524,76,82
525,student_525,79,81
526,student_526,94,98
527,student_527,76,96
528,student_528,100,72
529,student_529,61,66
530,student_530,51,76
531,student_531,67,79
532,student_532,54,62
533,student_533,64,59
534,student_534,81,87
535,student_535,100,88
536,student_536,65,89
537,student_537,92,99
538,student_538,52,70
539,student_539,68,50
540,student_540,93,86
541,student_541,65,72
542,student_542,93,92
543,student_543,84,97
544,student_544,99,93
545,student_545,89,63
546,student_546,95,72
547,student_547,53,51
548,student_548,81,70
549,student_549,74,62
550,student_550,97,73
551,student_551,94,76
552,student_552,98,61
553,student_553,58,55
554,student_554,78,53
555,student_555,78,60
556,student_556,83,100
557,student_557,88,99
558,student_558,93,85
559,student_559,73,95
560,student_560,89,57
561,student_561,86,63
562,student_562,53,70
563,student_563,54,51
564,student_564,100,50
565,student_565,51,53
566,student_566,100,54
567,student_567,68,89
568,student_568,95,80
569,student_569,74,62
570,student_570,60,84
571,student_571,100,61
572,student_572,70,72
573,student_573,86,87
574,student_574,71,68
575,student_575,51,60
576,student_576,53,65
577,student_577,50,75
578,student_578,74,90
579,student_579,56,86
580,student_580,83,79
581,student_581,95,72
582,student_582,96,83
583,student_583,64,59
584,student_584,79,88
585,student_585,64,76
586,student_586,64,71
587,student_587,87,97
588,student_588,72,64
589,student_589,90,96
590,student_590,72,61
591,student_591,94,68
592,student_592,95,95
593,student_593,86,84
594,student_594,79,84
595,student_595,61,60
596,student_596,70,95
597,student_597,69,84
598,student_598,100,69
599,student_599,81,73
600,student_600,78,96
601,student_601,59,84
602,student_602,64,66
603,student_603,67,85
604,student_604,55,66
605,student_605,97,86
606,student_606,61,89
607,student_607,85,63
608,student_608,53,93
609,student_609,63,98
610,student_610,98,95
611,student_611,80,77
612,student_612,51,92
613,student_613,74,64
614,student_614,88,61
615,student_615,74,66
616,student_616,70,92
617,student_617,53,93
618,student_618,94,60
619,student_619,96,74
620,student_620,61,84
621,student_621,93,90
622,student_622,86,96
623,student_623,55,60
624,student_624,96,74
625,student_625,85,61
626,student_626,89,50
627,student_627,67,94
628,student_628,85,76
629,student_629,70,88
630,student_630,75,81
631,student_631,75,83
632,student_632,56,92
633,student_633,54,94
634,student_634,55,74
635,student_635,58,95
636,student_636,65,90
637,student_637,78,66
638,student_638,78,75
639,student_639,59,68
640,student_640,64,84
641,student_641,86,53
642,student_642,70,62
643,student_643,88,84
644,student_644,94,99
645,student_645,65,63
646,student_646,52,58
647,student_647,70,54
648,student_648,88,89
649,student_649,54,92
650,student_650,70,95
651,student_651,53,89
652,student_652,65,79
653,student_653,94,53
654,student_654,56,95
655,student_655,58,60
656,student_656,58,96
657,student_657,77,53
658,student_658,51,60
659,student_659,82,53
660,student_660,69,89
661,student_661,50,54
662,student_662,72,73
663,student_663,93,93
664,student_664,91,56
665,student_665,54,94
666,student_666,51,99
667,student_667,100,62
668,student_668,95,81
669,student_669,80,86
670,student_670,67,89
671,student_671,90,74
672,student_672,85,88
673,student_673,77,74
674,student_674,79,87
675,student_675,64,79
676,student_676,94,84
677,student_677,62,71
678,student_678,81,58
679,student_679,75,96
680,student_680,91,87
681,student_681,54,88
682,student_682,79,59
683,student_683,54,71
684,student_684,85,85
685,student_685,78,77
686,student_686,99,88
687,student_687,75,55
688,student_688,84,87
689,student_689,55,68
690,student_690,67,52
691,student_691,94,84
692,student_692,57,92
693,student_693,92,66
694,student_694,85,81
695,student_695,71,86
696,student_696,86,61
697,student_697,79,67
698,student_698,59,87
699,student_699,100,83
700,student_700,80,80
701,student_701,53,88
702,student_702,75,79
703,student_703,85,89
704,student_704,57,97
705,student_705,61,92
706,student_706,95,54
707,student_707,99,79
708,student_708,53,74
709,student_709,80,55
710,student_710,55,66
711,student_711,84,69
712,student_712,51,100
713,student_713,76,72
714,student_714,83,96
715,student_715,64,66
716,student_716,62,67
717,student_717,98,77
718,student_718,74,86
719,student_719,51,69
720,student_720,75,81
721,student_721,69,84
722,student_722,69,59
723,student_723,68,77
724,student_724,99,77
725,student_725,100,67
726,student_726,93,93
727,student_727,84,70
728,student_728,71,81
729,student_729,65,50
730,student_730,78,50
731,student_731,63,76
732,student_732,69,59
733,student_733,85,99
734,student_734,81,53
735,student_735,78,55
736,student_736,56,52
737,student_737,74,94
738,student_738,65,52
739,student_739,70,76
740,student_740,82,70
741,student_741,90,55
742,student_742,87,63
743,student_743,67,51
744,student_744,52,57
745,student_745,72,55
746,student_746,50,50
747,student_747,53,94
748,student_748,97,62
749,student_749,74,86
750,student_750,75,85
751,student_751,94,54
752,student_752,79,68
753,student_753,55,62
754,student_754,66,79
755,student_755,92,67
756,student_756,56,66
757,student_757,82,67
758,student_758,83,52
759,student_759,53,63
760,student_760,56,93
761,student_761,53,93
762,student_762,76,81
763,student_763,50,86
764,student_764,100,55
765,student_765,93,82
766,student_766,55,83
767,student_767,76,75
768,student_768,53,59
769,student_769,92,81
770,student_770,62,82
771,student_771,85,52
772,student_772,62,63
773,student_773,68,65
774,student_774,81,82
775,student_775,89,92
776,student_776,100,87
777,student_777,78,66
778,student_778,97,57
779,student_779,91,88
780,student_780,54,83
781,student_781,77,99
782,student_782,59,65
783,student_783,64,68
784,student_784,76,94
785,student_785,69,78
786,student_786,56,87
787,student_787,96,97
788,student_788,70,65
789,student_789,58,76
790,student_790,96,63
791,student_791,67,64
792,student_792,72,52
793,student_793,57,64
794,student_794,75,78
795,student_795,95,75
796,student_796,92,88
797,student_797,52,65
798,student_798,98,85
799,student_799,82,60
800,student_800,90,71
801,student_801,84,89
802,student_802,74,64
803,student_803,75,63
804,student_804,85,97
805,student_805,100,55
806,student_806,54,64
807,student_807,73,89
808,student_808,92,76
809,student_809,88,76
810,student_810,64,86
811,student_811,94,87
812,student_812,54,100
813,student_813,88,89
814,student_814,76,70
815,student_815,94,88
816,student_816,98,63
817,student_817,51,74
818,student_818,82,99
819,student_819,72,80
820,student_820,50,99
821,student_821,70,91
822,student_822,87,50
823,student_823,83,80
824,student_824,51,58
825,student_825,51,60
826,student_826,68,66
827,student_827,68,97
828,student_828,66,73
829,student_829,74,60
830,student_830,66,95
831,student_831,100,66
832,student_832,69,80
833,student_833,53,53
834,student_834,84,86
835,student_835,79,95
836,student_836,79,50
837,student_837,65,95
838,student_838,97,84
839,student_839,76,73
840,student_840,60,59
841,student_841,90,54
842,student_842,98,87
843,student_843,97,87
844,student_844,89,89
845,student_845,73,96
846,student_846,50,94
847,student_847,66,98
848,student_848,98,67
849,student_849,86,69
850,student_850,91,93
851,student_851,86,95
852,student_852,69,73
853,student_853,85,94
854,student_854,68,100
855,student_855,62,72
856,student_856,65,59
857,student_857,61,71
858,student_858,51,79
859,student_859,50,62
860,student_860,54,58
861,student_861,87,89
862,student_862,55,82
863,student_863,100,58
864,student_864,74,55
865,student_865,62,63
866,student_866,79,84
867,student_867,89,60
868,student_868,88,67
869,student_869,64,88
870,student_870,66,61
871,student_871,50,54
872,student_872,97,85
873,student_873,97,81
874,student_874,82,52
875,student_875,66,95
876,student_876,74,64
877,student_877,50,87
878,student_878,55,72
879,student_879,91,87
880,student_880,53,97
881,student_881,67,65
882,student_882,89,99
883,student_883,73,62
884,student_884,89,96
885,student_885,80,73
886,student_886,85,90
887,student_887,91,69
888,student_888,82,78
889,student_889,70,100
890,student_890,98,87
891,student_891,95,99
892,student_892,69,62
893,student_893,52,62
894,student_894,80,83
895,student_895,73,70
896,student_896,52,81
897,student_897,69,76
898,student_898,54,68
899,student_899,67,78
900,student_900,74,90
901,student_901,94,83
902,student_902,51,76
903,student_903,96,73
904,student_904,98,93
905,student_905,72,90
906,student_906,76,85
907,student_907,100,65
908,student_908,75,50
909,student_909,67,59
910,student_910,94,73
911,student_911,92,63
912,student_912,65,82
913,student_913,70,51
914,student_914,63,63
915,student_915,84,58
916,student_916,55,89
917,student_917,96,89
918,student_918,80,53
919,student_919,77,99
920,student_920,50,77
921,student_921,80,53
922,student_922,51,52
923,student_923,59,92
924,student_924,70,82
925,student_925,70,91
926,student_926,53,67
927,student_927,58,69
928,student_928,88,62
929,student_929,78,74
930,student_930,60,53
931,student_931,76,56
932,student_932,68,86
933,student_933,99,88
934,student_934,53,64
935,student_935,54,89
936,student_936,63,56
937,student_937,88,61
938,student_938,56,76
939,student_939,63,70
940,student_940,68,51
941,student_941,89,58
942,student_942,86,58
943,student_943,61,100
944,student_944,66,91
945,student_945,89,70
946,student_946,74,75
947,student_947,74,74
948,student_948,52,91
949,student_949,70,52
950,student_950,76,89
951,student_951,63,76
952,student_952,57,85
953,student_953,53,74
954,student_954,57,50
955,student_955,50,85
956,student_956,91,89
957,student_957,78,66
958,student_958,65,98
959,student_959,59,81
960,student_960,84,100
961,student_961,57,85
962,student_962,74,90
963,student_963,90,98
964,student_964,66,71
965,student_965,86,54
966,student_966,70,82
967,student_967,58,69
968,student_968,100,70
969,student_969,74,79
970,student_970,78,61
971,student_971,61,77
972,student_972,96,84
973,student_973,56,71
974,student_974,51,83
975,student_975,60,66
976,student_976,90,52
977,student_977,60,98
978,student_978,74,72
979,student_979,64,86
980,student_980,100,97
981,student_981,94,56
982,student_982,100,69
983,student_983,77,96
984,student_984,95,56
985,student_985,86,96
986,student_986,80,61
987,student_987,64,74
988,student_988,73,58
989,student_989,74,50
990,student_990,52,65
991,student_991,74,69
992,student_992,92,56
993,student_993,72,75
994,student_994,97,95
995,student_995,73,71
996,student_996,59,56
997,student_997,79,79
998,student_998,78,86
999,student_999,87,60
1000,student_1000,55,62
1001,student_1001,74,69
1002,student_1002,51,50
1003,student_1003,51,94
1004,student_1004,76,65
1005,student_1005,70,100
1006,student_1006,75,58
1007,student_1007,51,75
1008,student_1008,70,54
1009,student_1009,91,52
1010,student_1010,71,85
1011,student_1011,57,53
1012,student_1012,70,78
1013,student_1013,95,58
1014,student_1014,67,72
1015,student_1015,69,68
1016,student_1016,68,82
1017,student_1017,74,82
1018,student_1018,75,99
1019,student_1019,68,58
1020,student_1020,82,70
1021,student_1021,77,81
1022,student_1022,91,77
1023,student_1023,82,96
1024,student_1024,55,50
1025,student_1025,100,76
1026,student_1026,71,78
1027,student_1027,78,57
1028,student_1028,91,75
1029,student_1029,98,68
1030,student_1030,98,91
1031,student_1031,59,89
1032,student_1032,67,76
1033,student_1033,67,60
1034,student_1034,82,82
1035,student_1035,82,53
1036,student_1036,67,62
1037,student_1037,67,69
1038,student_1038,98,73
1039,student_1039,89,93
1040,student_1040,56,79
1041,student_1041,99,59
1042,student_1042,95,69
1043,student_1043,100,96
1044,student_1044,97,78
1045,student_1045,71,92
1046,student_1046,79,100
1047,student_1047,51,65
1048,student_1048,81,78
1049,student_1049,71,83
1050,student_1050,94,89
1051,student_1051,87,79
1052,student_1052,85,76
1053,student_1053,99,99
1054,student_1054,96,56
1055,student_1055,95,96
1056,student_1056,96,56
1057,student_1057,67,72
1058,student_1058,90,92
1059,student_1059,57,55
1060,student_1060,89,57
1061,student_1061,61,60
1062,student_1062,70,78
1063,student_1063,89,98
1064,student_1064,93,82
1065,student_1065,77,77
1066,student_1066,59,93
1067,student_1067,57,85
1068,student_1068,72,58
1069,student_1069,76,93
1070,student_1070,94,78
1071,student_1071,84,72
1072,student_1072,93,94
1073,student_1073,88,65
1074,student_1074,94,60
1075,student_1075,84,93
1076,student_1076,88,76
1077,student_1077,53,53
1078,student_1078,51,67
1079,student_1079,53,79
1080,student_1080,61,96
1081,student_1081,94,77
1082,student_1082,68,79
1083,student_1083,68,92
1084,student_1084,81,75
1085,student_1085,77,97
1086,student_1086,66,78
1087,student_1087,56,92
1088,student_1088,97,91
1089,student_1089,64,100
1090,student_1090,88,97
1091,student_1091,71,78
1092,student_1092,55,53
1093,student_1093,56,80
1094,student_1094,63,80
1095,student_1095,99,80
1096,student_1096,83,68
1097,student_1097,70,97
1098,student_1098,59,54
1099,student_1099,93,77
1100,student_1100,60,90
1101,student_1101,97,83
1102,student_1102,71,75
1103,student_1103,93,61
1104,student_1104,74,62
1105,student_1105,70,94
1106,student_1106,83,83
1107,student_1107,94,93
1108,student_1108,86,88
1109,student_1109,96,78
1110,student_1110,55,82
1111,student_1111,81,53
1112,student_1112,68,74
1113,student_1113,81,53
1114,student_1114,93,55
1115,student_1115,67,89
1116,student_1116,85,70
1117,student_1117,75,74
1118,student_1118,92,99
1119,student_1119,84,67
1120,student_1120,92,75
1121,student_1121,87,76
1122,student_1122,86,81
1123,student_1123,83,76
1124,student_1124,62,81
1125,student_1125,72,99
1126,student_1126,54,81
1127,student_1127,53,72
1128,student_1128,98,79
1129,student_1129,70,62
1130,student_1130,57,91
1131,student_1131,69,92
1132,student_1132,57,94
1133,student_1133,92,58
1134,student_1134,82,81
1135,student_1135,81,80
1136,student_1136,56,63
1137,student_1137,91,62
1138,student_1138,85,84
1139,student_1139,91,69
1140,student_1140,100,74
1141,student_1141,85,92
1142,student_1142,59,79
1143,student_1143,50,54
1144,student_1144,71,52
1145,student_1145,88,56
1146,student_1146,75,62
1147,student_1147,81,96
1148,student_1148,61,63
1149,student_1149,85,57
1150,student_1150,92,81
1151,student_1151,91,95
1152,student_1152,95,55
1153,student_1153,100,83
1154,student_1154,52,58
1155,student_1155,78,69
1156,student_1156,54,96
1157,student_1157,85,98
1158,student_1158,76,94
1159,student_1159,57,89
1160,student_1160,60,91
1161,student_1161,76,69
1162,student_1162,89,84
1163,student_1163,66,51
1164,student_1164,75,86
1165,student_1165,61,78
1166,student_1166,90,92
1167,student_1167,95,84
1168,student_1168,73,68
1169,student_1169,93,84
1170,student_1170,77,76
1171,student_1171,86,61
1172,student_1172,61,83
1173,student_1173,53,58
1174,student_1174,69,77
1175,student_1175,66,82
1176,student_1176,89,83
1177,student_1177,68,77
1178,student_1178,67,86
1179,student_1179,92,59
1180,student_1180,82,70
1181,student_1181,98,69
1182,student_1182,58,83
1183,student_1183,84,54
1184,student_1184,94,88
1185,student_1185,97,73
1186,student_1186,63,56
1187,student_1187,78,58
1188,student_1188,96,55
1189,student_1189,96,89
1190,student_1190,53,84
1191,student_1191,80,86
1192,student_1192,94,90
1193,student_1193,93,93
1194,student_1194,52,87
1195,student_1195,64,80
1196,student_1196,86,61
1197,student_1197,61,81
1198,student_1198,72,58
1199,student_1199,60,84
1200,student_1200,51,100
1201,student_1201,68,81
1202,student_1202,91,97
1203,student_1203,78,78
1204,student_1204,59,91
1205,student_1205,69,61
1206,student_1206,98,64
1207,student_1207,77,100
1208,student_1208,96,56
1209,student_1209,88,56
1210,student_1210,95,66
1211,student_1211,64,65
1212,student_1212,83,85
1213,student_1213,56,58
1214,student_1214,84,65
1215,student_1215,60,99
1216,student_1216,52,88
1217,student_1217,55,57
1218,student_1218,96,74
1219,student_1219,60,54
1220,student_1220,91,57
1221,student_1221,63,65
1222,student_1222,86,59
1223,student_1223,67,82
1224,student_1224,60,73
1225,student_1225,90,80
1226,student_1226,70,82
1227,student_1227,67,86
1228,student_1228,52,84
1229,student_1229,77,89
1230,student_1230,100,52
1231,student_1231,69,89
1232,student_1232,51,76
1233,student_1233,74,61
1234,student_1234,94,55
1235,student_1235,100,51
1236,student_1236,94,92
1237,student_1237,53,63
1238,student_1238,59,92
1239,student_1239,72,91
1240,student_1240,75,52
1241,student_1241,64,77
1242,student_1242,60,62
1243,student_1243,74,54
1244,student_1244,99,71
1245,student_1245,95,61
1246,student_1246,80,68
1247,student_1247,70,65
1248,student_1248,98,72
1249,student_1249,51,81
1250,student_1250,78,96
1251,student_1251,61,72
1252,student_1252,96,58
1253,student_1253,63,92
1254,student_1254,95,58
1255,student_1255,65,72
1256,student_1256,86,56
1257,student_1257,54,77
1258,student_1258,88,63
1259,student_1259,73,59
1260,student_1260,73,70
1261,student_1261,80,84
1262,student_1262,70,91
1263,student_1263,93,75
1264,student_1264,65,59
1265,student_1265,86,67
1266,student_1266,72,54
1267,student_1267,63,69
1268,student_1268,55,63
1269,student_1269,79,62
1270,student_1270,74,57
1271,student_1271,51,93
1272,student_1272,78,82
1273,student_1273,65,73
1274,student_1274,74,60
1275,student_1275,85,83
1276,student_1276,77,66
1277,student_1277,52,83
1278,student_1278,63,85
1279,student_1279,76,60
1280,student_1280,50,93
1281,student_1281,90,50
1282,student_1282,58,57
1283,student_1283,52,100
1284,student_1284,55,68
1285,student_1285,64,90
1286,student_1286,83,89
1287,student_1287,79,60
1288,student_1288,72,99
1289,student_1289,53,87
1290,student_1290,98,93
1291,student_1291,80,82
1292,student_1292,69,65
1293,student_1293,94,90
1294,student_1294,89,63
1295,student_1295,96,66
1296,student_1296,86,75
1297,student_1297,60,77
1298,student_1298,89,68
1299,student_1299,64,97
1300,student_1300,53,98
1301,student_1301,76,85
1302,student_1302,62,70
1303,student_1303,68,57
1304,student_1304,60,69
1305,student_1305,88,74
1306,student_1306,76,76
1307,student_1307,84,54
1308,student_1308,90,75
1309,student_1309,87,96
1310,student_1310,100,91
1311,student_1311,68,79
1312,student_1312,93,97
1313,student_1313,70,71
1314,student_1314,88,68
1315,student_1315,59,51
1316,student_1316,53,87
1317,student_1317,89,60
1318,student_1318,98,97
1319,student_1319,51,84
1320,student_1320,82,86
1321,student_1321,75,53
1322,student_1322,73,61
1323,student_1323,62,60
1324,student_1324,61,69
1325,student_1325,62,71
1326,student_1326,56,94
1327,student_1327,60,95
1328,student_1328,92,89
1329,student_1329,69,83
1330,student_1330,87,92
1331,student_1331,93,88
